x,y
0,25
1,26.5
2,28
3,29.5
4,31
5,32.5
6,34
7,35.5
8,37
9,38.5
10,40
11,41.5
12,43
13,44.5
14,46
15,47.5
16,49
17,50.5
18,52
19,53.5
20,55
21,56.5
22,58
23,59.5
24,61
25,62.5
26,64
27,65.5
28,67
29,68.5
30,70
31,71.5
32,73
33,74.5
34,76
35,77.5
36,79
37,80.5
38,82
39,83.5
40,85
41,86.5
42,88
43,89.5
44,91
45,92.5
46,94
47,95.5
48,97
49,98.5
50,100
51,101.5
52,103
53,104.5
54,106
55,107.5
56,109
57,110.5
58,112
59,113.5
60,115
61,116.5
62,118
63,119.5
64,121
65,122.5
66,124
67,125.5
68,127
69,128.5
70,130
71,131.5
72,133
73,134.5
74,136
75,137.5
76,139
77,140.5
78,142
79,143.5
80,145
81,146.5
82,148
83,149.5
84,151
85,152.5
86,154
87,155.5
88,157
89,158.5
90,160
91,161.5
92,163
93,164.5
94,166
95,167.5
96,169
97,170.5
98,172
99,173.5
